BASMAA ID,Census Tract,Total Population,California County,ZIP,"Nearby City 
(to help approximate location only)",Longitude,Latitude,CES 3.0 Score, CES 3.0 Percentile,"CES 3.0 
Percentile Range",SB 535 Disadvantaged Community,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
FR-01,6001442800,2816,Alameda ,94538,Fremont,-121.9931032,37.5293622,32.92,64.75,60-65%,No,0.035,16.94,9.53630303,40.92,31.729,87.52,83.53,7.30,263.74,81.65,171.0145491,33.13,1681.21,86.51,2.95,31.38,37.5,86.35,0.06,28.04,0,0.00,0,0.00,43.43,5.35,54.19,56.51,64.68,7.29,92.81,8.87,62.00,12,45.08,13.9,72.04,22.2,30.99,7,28.77,18.1,50.70,59.34,6.15,64.04
FR-01,6001442500,7371,Alameda ,94538,Fremont,-121.9871471,37.537144,29.98,59.43,55-60%,No,0.035,16.94,9.53630303,40.92,33.405,88.80,83.53,7.30,25.59,66.48,144.4178546,30.06,699.64,49.94,13.4,73.37,46,89.97,0.05,25.76,0,0.00,0,0.00,41.22,5.08,48.25,67.67,76.61,6.73,87.71,10.69,80.20,10.7,41.61,10.6,61.22,21,28.81,6.2,22.33,8.4,7.79,56.93,5.90,60.25
FR-01,6001443002,5918,Alameda ,94538,Fremont,-121.9605916,37.5168344,27.61,55.04,55-60%,No,0.035,16.94,9.53630303,40.92,37.650,91.65,83.53,7.30,0.00,0.00,197.3605968,35.55,535.88,34.43,22.5,85.46,17.5,66.55,0.995,86.19,0,0.00,0,0.00,37.48,4.62,38.54,67.67,76.61,6.2,80.02,10.69,80.20,9.5,37.48,12.4,67.32,19.5,25.77,8.4,42.25,8.9,9.14,57.67,5.98,61.57
FR-01,6001441926,4080,Alameda ,94538,Fremont,-121.9787103,37.5408003,24.93,49.75,45-50%,No,0.035,16.94,9.53630303,40.92,33.901,89.20,83.53,7.30,0.00,0.00,133.8603124,28.85,609.51,42.55,10.6,64.01,19.5,70.01,0.025,15.68,0,0.00,0,0.00,31.48,3.88,23.24,67.67,76.61,6.64,86.72,10.69,80.20,17.5,57.22,18.8,82.24,29.5,44.02,1.6,0.62,13.9,30.01,62.00,6.43,68.03
FR-01,6001442900,7194,Alameda ,94538,Fremont,-121.9748246,37.5183894,23.38,46.07,45-50%,No,0.035,16.94,9.53630303,40.92,37.650,91.65,83.53,7.30,0.12,22.20,240.3410124,39.72,1685.45,86.59,14.2,75.45,35,85.09,0.305,69.30,0,0.00,0,0.00,44.40,5.47,57.14,67.67,76.61,4.45,37.28,10.69,80.20,8,32.15,3.3,24.90,15,16.15,3.4,3.92,9.7,11.61,41.22,4.28,36.35
FR-01,6001443001,2917,Alameda ,94538,Fremont,-121.9515237,37.5184218,22.88,44.87,40-45%,No,0.035,16.94,9.53630303,40.92,37.650,91.65,83.53,7.30,0.00,0.00,165.5617427,32.54,532.36,34.10,24.9,87.50,4,26.91,2.695,93.90,0,0.00,0,0.00,35.17,4.33,32.55,61.08,70.37,6.23,80.65,9.76,72.38,9.7,38.12,11.8,65.38,14.2,14.58,4.6,9.76,8.9,9.14,50.93,5.28,51.52
FR-01,6001442302,4788,Alameda ,94538,Fremont,-121.9600524,37.5362999,22.17,43.35,40-45%,No,0.035,16.94,9.53630303,40.92,37.650,91.65,83.53,7.30,0.00,0.00,131.1383382,28.47,497.56,30.44,20.5,83.95,26,78.29,0,0.00,0,0.00,0,0.00,31.36,3.86,22.92,50.58,56.98,5.61,68.47,8.29,54.63,8,32.15,17.7,80.35,25.6,37.25,11.1,64.04,15.9,39.54,55.35,5.74,58.03
FR-01,6001442400,6253,Alameda ,94538,Fremont,-121.9737794,37.5313805,20.65,39.98,35-40%,No,0.035,16.94,9.53630303,40.92,37.650,91.65,83.53,7.30,0.00,0.00,145.7262786,30.26,540.6,35.09,10.8,64.47,39,87.16,0,0.00,0,0.00,0,0.00,31.27,3.85,22.64,67.67,76.61,4.82,47.28,10.69,80.20,12.1,45.34,7.9,50.50,20.9,28.60,7.1,29.83,12.3,22.66,51.71,5.36,52.55
FR-01,6001441923,5605,Alameda ,94538,Fremont,-121.9850086,37.5509731,20.34,39.20,35-40%,No,0.035,16.94,9.1171234,32.61,18.802,58.12,83.53,7.30,0.00,0.00,132.3870227,28.62,640.35,45.37,12.4,70.34,18.5,68.26,0.175,56.35,0,0.00,0,0.00,30.99,3.82,21.90,38.63,39.67,6.22,80.53,6.67,32.63,7.7,30.87,9.6,57.63,34.4,51.44,9.2,49.49,22.7,69.61,51.38,5.33,52.15
FR-01,6001441927,4103,Alameda ,94538,Fremont,-121.976577,37.5465021,18.70,35.00,30-35%,No,0.035,16.94,9.1171234,32.61,17.691,53.78,83.53,7.30,0.00,0.00,130.5452305,28.41,556.32,37.00,11.65,66.31,22,73.68,0.06,28.04,0,0.00,0,0.00,27.97,3.44,15.44,67.67,76.61,5.26,59.61,10.69,80.20,4.4,16.83,10.9,62.10,9.6,6.34,5.9,20.10,19.6,57.34,52.34,5.43,53.40
